relative_path,filename,hash,filename_dup,hash_dup,conflict_type
zdu-narrativa-app/private/infra/scripts/audits/modules/README.md,README.md,c55f6692359ea4b665ee91ea029a4a74,True,False,Name Duplicate
zdu-narrativa-app/private/infra/scripts/audits/data/readme.md,readme.md,fee8270a98c2f3c58a224c9bf77a1d95,True,False,Name Duplicate
zdu-narrativa-app/private/infra/scripts/utils/README.md,README.md,e6b39673c4d773642b5cedbe578d3128,True,False,Name Duplicate
zdu-narrativa-app/private/infra/scripts/data/README.md,README.md,ab6529112d806acfc5c10e7fdb8e3d6f,True,False,Name Duplicate
zdu-narrativa-app/private/infra/milestones/readme.md,readme.md,73068e414b55ebff39835f70d3400e05,True,False,Name Duplicate
zdu-narrativa-app/private/infra/milestones/ZDU_INFRA_MILESTONE_001.md,ZDU_INFRA_MILESTONE_001.md,f4ddb45ed9e390aed5640dfa3f8b8fe4,False,False,Unique
zdu-narrativa-app/private/infra/mappings/README_ZDU_MANIFESTS.md,README_ZDU_MANIFESTS.md,bf4743fc20bbd40ae5187a53564bdc22,False,False,Unique
zdu-narrativa-app/private/infra/mappings/readme.md,readme.md,81b8187de96f36548d85656e6b386b61,True,False,Name Duplicate
zdu-narrativa-app/private/infra/mappings/ZDU_FOLDER_MAPPING_SCHEMA_V1.md,ZDU_FOLDER_MAPPING_SCHEMA_V1.md,c3f1daf192ddd973b189d6be0d65da6e,False,False,Unique
zdu-narrativa-app/private/infra/mappings/ZDU_FOLDER_DEPENDENCY_STRATEGY_V1.md,ZDU_FOLDER_DEPENDENCY_STRATEGY_V1.md,ff84e108ebc53b5f73d6ea62024d38b8,False,False,Unique
zdu-narrativa-app/private/infra/assets/renders/README_renders.md,README_renders.md,8d2d8d64e6934e189f3c3db2b05c3203,False,False,Unique
zdu-narrativa-app/private/infra/assets/heroes/luna-varela/README_luna_varela.md,README_luna_varela.md,2b50e68826e88935764b1fc413905ca0,False,False,Unique
zdu-narrativa-app/private/infra/assets/cdu/ZDU-002/ZDU-002_README.md,ZDU-002_README.md,5b85c7181c442118483ffed89b1bed9d,False,False,Unique
zdu-narrativa-app/private/infra/assets/qma360/README_QMA360_STRUCTURE.md,README_QMA360_STRUCTURE.md,2468ac3f9ab3b5d330d0fa7aaa8aebdb,False,False,Unique
zdu-narrativa-app/private/infra/assets/qma360/README_qma360.md,README_qma360.md,0706a18cd7c0f60e98a392887bf5ad83,False,False,Unique
zdu-narrativa-app/private/infra/assets/qma360/banca/input/README.md,README.md,e962c82d3e5e411efc0a1ad0e496e5a6,True,False,Name Duplicate
zdu-narrativa-app/private/infra/assets/qma360/banca/output/README.md,README.md,3875b1c5462c9cddcd216ea69ffd501b,True,False,Name Duplicate
zdu-narrativa-app/private/infra/assets/qma360/banca/procesado/README.md,README.md,dd28b49a52313ef681ae8e023772205c,True,False,Name Duplicate
zdu-narrativa-app/private/infra/assets/qma360/industria/input/README.md,README.md,6108aa066ace86fdac6e6f82f322fdb2,True,False,Name Duplicate
zdu-narrativa-app/private/infra/assets/qma360/industria/output/README.md,README.md,d49bc0055d911f05ca32e77450d3b309,True,False,Name Duplicate
zdu-narrativa-app/private/infra/assets/qma360/industria/procesado/README.md,README.md,9ee8dbf4ff94ab1db1c195311dc3256c,True,False,Name Duplicate
zdu-narrativa-app/private/infra/assets/qma360/salud-beneficios/README_salud-beneficios.md,README_salud-beneficios.md,1ec7695e396ea18cbe845fc229ef6770,False,False,Unique
zdu-narrativa-app/private/infra/assets/qma360/gobierno/input/README.md,README.md,6409162c259a671ea9ed14a7ec963a16,True,False,Name Duplicate
zdu-narrativa-app/private/infra/assets/qma360/gobierno/output/README.md,README.md,b1af29b3b69c5ac5b9b6c3a7225f68d4,True,False,Name Duplicate
zdu-narrativa-app/private/infra/assets/qma360/gobierno/procesado/README.md,README.md,1bc86c33d0a34834cff17fec15266651,True,False,Name Duplicate
zdu-narrativa-app/private/infra/assets/qma360/salud-casos-estudio/README_salud-casos-estudio.md,README_salud-casos-estudio.md,c5766b464e4cdc0d9f2fef494bf409d3,False,False,Unique
zdu-narrativa-app/private/infra/assets/qma360/banca-beneficios/README_banca-beneficios.md,README_banca-beneficios.md,7a90eae1a3fb12163724c8d631240c10,False,False,Unique
zdu-narrativa-app/private/infra/assets/qma360/salud/input/README.md,README.md,4f8a796cb2c306ea73907349f847c65b,True,False,Name Duplicate
zdu-narrativa-app/private/infra/assets/qma360/salud/output/README.md,README.md,ade1229b1c35fd1cb7efbeb05eae8925,True,False,Name Duplicate
zdu-narrativa-app/private/infra/assets/qma360/salud/procesado/README.md,README.md,6731857fa0c24effc4852af299607edc,True,False,Name Duplicate
zdu-narrativa-app/private/infra/assets/qma360/partners/README_PARTNER_SYNC.md,README_PARTNER_SYNC.md,31cc9b89dbdc091645b6170203f8a263,False,False,Unique
zdu-narrativa-app/private/infra/assets/qma360/banca-datasheets/README_banca-datasheets.md,README_banca-datasheets.md,92807225a6b971193bdff1a9f747ca68,False,False,Unique
zdu-narrativa-app/private/infra/assets/qma360/educacion-textsheets/README_educacion-textsheets.md,README_educacion-textsheets.md,bdc8ca047ce8e610e1e389c1c3a265bf,False,False,Unique
zdu-narrativa-app/private/infra/assets/qma360/salud-datasheets/README_salud-datasheets.md,README_salud-datasheets.md,40d65c48a1f142ec849d2e4c95ee951e,False,False,Unique
zdu-narrativa-app/private/infra/assets/villanos/blackhat/README_blackcat.md,README_blackcat.md,6c82b452e014239e13d6c22e3d18338e,False,False,Unique
zdu-narrativa-app/private/infra/validation/README-JAVA-ENV.md,README-JAVA-ENV.md,a7c1e0c39b987477cacb244d9a97f619,False,False,Unique
zdu-narrativa-app/private/infra/sql/README_sql.md,README_sql.md,a58f983746e308d6febe690de6709101,False,False,Unique
zdu-narrativa-app/private/infra/sql/qma360_candado_readmes.md,qma360_candado_readmes.md,54d294e29217fc644c56182e30f261ec,True,True,Name + Content Duplicate
zdu-narrativa-app/private/infra/sql/auditoria/structure_snapshots/SUPABASE-STRUCTURE-AUDIT.md,SUPABASE-STRUCTURE-AUDIT.md,067f113f228e1fce9a9f4037ab46df2d,True,False,Name Duplicate
zdu-narrativa-app/private/inteligen/README-INTELGEN-RISK.md,README-INTELGEN-RISK.md,8ea2dad1dc567dfbb54fc1ddce20f987,False,False,Unique
zdu-narrativa-app/private/inteligen/INTELGEN-RISK.md,INTELGEN-RISK.md,5fe3fbd49d63cec8d1b411904b4e946b,False,False,Unique
zdu-narrativa-app/private/bitacoras/README.md,README.md,b024d4e6fe2bccbf7886077511618511,True,False,Name Duplicate
zdu-narrativa-app/private/quality/README-QUALITY-CONTROL-PLAN.md,README-QUALITY-CONTROL-PLAN.md,abca3f2add69f88bea074ba584a19cc4,False,False,Unique
zdu-narrativa-app/private/quality/README-QUALITY-CHECKPOINT.md,README-QUALITY-CHECKPOINT.md,d1b5caf7bc2de5ef620cfa045d92f3be,False,False,Unique
zdu-narrativa-app/private/quality/ZDU-SIGMA-CORE-CHECKPOINT.md,ZDU-SIGMA-CORE-CHECKPOINT.md,f3a53ca3a69ca18fa67087cb6a5edec8,False,False,Unique
zdu-narrativa-app/private/quality/CONTROL_PLAN-ZDU.md,CONTROL_PLAN-ZDU.md,2171e281e4c2fbcbc41774fd53fd19f9,False,False,Unique
zdu-narrativa-app/private/quality/AMEF-ZDU.md,AMEF-ZDU.md,62229ecf61b8ae32a1e0a4a527b9c33e,False,False,Unique
zdu-narrativa-app/private/quality/README-QUALITY-AMEF.md,README-QUALITY-AMEF.md,3b9433222ecc05ab89ec57a3a149a9d4,False,False,Unique
zdu-narrativa-app/private/quality/ZDU_QUALITY_INDEX.md,ZDU_QUALITY_INDEX.md,905c93c597f9e6913cf7807f7fbbef10,True,False,Name Duplicate
zdu-narrativa-app/private/quality/console/ZDU_QUALITY_INDEX.md,ZDU_QUALITY_INDEX.md,9751b46205325f08a44943f408f4d8fa,True,False,Name Duplicate
zdu-narrativa-app/private/framework/README-ZDU-FRAMEWORK.md,README-ZDU-FRAMEWORK.md,dc311f0203abcbf7c74e93ac14b08f2d,False,False,Unique
zdu-narrativa-app/private/recalc/ZDU-RECALC.md,ZDU-RECALC.md,b11eea600976d4730563d3fd31c7a4fd,False,False,Unique
